"year","Mortality.x","Mortality.y","Mortality.x.x","Mortality.y.y","ISO"
2004,9.1,7.9,5.7,14,"BIH"
2005,8.9,7.8,5.5,13,"BIH"
2006,8.6,7.5,5.4,13,"BIH"
2007,8.3,7.2,5.3,13,"BIH"
2008,7.9,6.9,5.3,11,"BIH"
2009,7.5,6.6,5.2,11,"BIH"
2010,7.2,6.3,5.1,11,"BIH"
2011,6.9,6,5,10,"BIH"
2012,6.7,5.8,4.9,10,"BIH"
2013,6.5,5.6,4.8,10,"BIH"
2014,6.4,5.5,4.7,10,"BIH"
2015,6.3,5.4,4.6,10,"BIH"
2016,6.2,5.3,4.5,10,"BIH"
2017,6.1,5.3,4.4,10,"BIH"
2018,6,5.2,4.3,NA,"BIH"
2019,5.9,5.1,4.2,NA,"BIH"
2000,12.7,9.9,6,22,"BLR"
2001,11.8,9.2,5.5,19,"BLR"
2002,10.9,8.5,5,18,"BLR"
2003,10.1,7.8,4.5,15,"BLR"
2004,9.4,7.3,4,13,"BLR"
2005,8.7,6.7,3.5,11,"BLR"
2006,8,6.2,3,9,"BLR"
2007,7.3,5.6,2.6,7,"BLR"
2008,6.6,5.1,2.2,6,"BLR"
2009,6.1,4.6,2,6,"BLR"
2010,5.6,4.3,1.8,5,"BLR"
2011,5.2,3.9,1.7,5,"BLR"
2012,4.9,3.7,1.7,4,"BLR"
2013,4.6,3.5,1.7,3,"BLR"
2014,4.3,3.3,1.6,3,"BLR"
2015,4.1,3.1,1.6,3,"BLR"
2016,3.9,2.9,1.5,3,"BLR"
2017,3.6,2.7,1.4,2,"BLR"
2018,3.4,2.5,1.2,NA,"BLR"
2019,3.1,2.4,1.1,NA,"BLR"
2000,23.6,20,12,89,"BLZ"
2001,22.8,19.4,11.6,88,"BLZ"
2002,22.2,18.9,11.1,82,"BLZ"
2003,21.7,18.5,10.6,80,"BLZ"
2004,21.3,18.2,10,75,"BLZ"
2005,20.9,17.9,9.4,70,"BLZ"
2006,20.6,17.6,8.7,65,"BLZ"
2007,20.3,17.3,8.4,61,"BLZ"
2008,19.9,17,8.4,59,"BLZ"
2009,19.4,16.6,8.7,57,"BLZ"
2010,18.9,16.2,9.3,54,"BLZ"
2011,18.3,15.7,10,52,"BLZ"
2012,17.7,15.2,10.4,50,"BLZ"
2013,16.9,14.6,10.5,48,"BLZ"
2014,16.1,13.9,10.4,46,"BLZ"
2015,15.3,13.2,10.1,43,"BLZ"
2016,14.5,12.5,9.6,39,"BLZ"
2017,13.7,11.8,9.1,36,"BLZ"
2018,12.9,11.1,8.6,NA,"BLZ"
2019,12.3,10.6,8.1,NA,"BLZ"
2000,NA,NA,NA,NA,"BMU"
2001,NA,NA,NA,NA,"BMU"
2002,NA,NA,NA,NA,"BMU"
2003,NA,NA,NA,NA,"BMU"
2004,NA,NA,NA,NA,"BMU"
2005,NA,NA,NA,NA,"BMU"
2006,NA,NA,NA,NA,"BMU"
2007,NA,NA,NA,NA,"BMU"
2008,NA,NA,NA,NA,"BMU"
2009,NA,NA,NA,NA,"BMU"
2010,NA,NA,NA,NA,"BMU"
2011,NA,NA,NA,NA,"BMU"
2012,NA,NA,NA,NA,"BMU"
2013,NA,NA,NA,NA,"BMU"
2014,NA,NA,NA,NA,"BMU"
2015,NA,NA,NA,NA,"BMU"
2016,NA,NA,NA,NA,"BMU"
2017,NA,NA,NA,NA,"BMU"
2018,NA,NA,NA,NA,"BMU"
2019,NA,NA,NA,NA,"BMU"
2000,75.6,55.9,29.6,331,"BOL"
2001,71.3,53.1,28.7,320,"BOL"
2002,67.2,50.4,28,309,"BOL"
2003,63.3,47.8,27.4,297,"BOL"
2004,59.6,45.4,26.8,283,"BOL"
2005,56.2,43.1,26.2,271,"BOL"
2006,52.9,40.8,25.5,258,"BOL"
2007,49.8,38.7,24.7,246,"BOL"
2008,46.9,36.7,23.7,234,"BOL"
2009,44.1,34.8,22.8,222,"BOL"
2010,41.6,33,21.8,212,"BOL"
2011,39.2,31.2,20.8,202,"BOL"
2012,37,29.6,19.9,192,"BOL"
2013,34.9,28,18.7,184,"BOL"
2014,33,26.6,17.6,175,"BOL"
2015,31.3,25.4,16.7,168,"BOL"
2016,29.9,24.3,15.9,161,"BOL"
2017,28.6,23.2,15.2,155,"BOL"
2018,27.4,22.3,14.6,NA,"BOL"
2019,26.3,21.5,14,NA,"BOL"
2000,34.7,30.4,18.5,69,"BRA"
2001,32.5,28.5,17.6,68,"BRA"
2002,30.4,26.8,16.7,69,"BRA"
2003,28.4,25.1,15.8,70,"BRA"
2004,26.5,23.5,15,71,"BRA"
2005,24.8,22,14.2,71,"BRA"
2006,23.2,20.7,13.5,72,"BRA"
2007,21.8,19.5,12.8,71,"BRA"
2008,20.6,18.4,12.2,70,"BRA"
2009,19.5,17.5,11.6,69,"BRA"
2010,18.6,16.7,11.1,65,"BRA"
2011,17.9,16,10.7,61,"BRA"
2012,17.2,15.4,10.3,60,"BRA"
2013,16.7,14.9,10,61,"BRA"
2014,16.3,14.6,9.7,62,"BRA"
2015,15.9,14.2,9.5,63,"BRA"
2016,16.7,15,10,62,"BRA"
2017,15.4,13.8,9.3,60,"BRA"
2018,15.2,13.6,9.2,NA,"BRA"
2019,14.9,13.3,8.9,NA,"BRA"
2000,15.1,13.7,9.3,50,"BRB"
2001,15.3,14,9.3,48,"BRB"
2002,15.5,14.2,9.5,47,"BRB"
2003,15.7,14.3,9.6,45,"BRB"
